Performance Test Run,"GIT_Testing [Dec 6, 2017 at 02:56:08 PM IST]"
Run Start Time,2017-12-06T02:56:08IST
Time Range,Entire Run
Node,All Host
Agent,Performance Statistics
Test Name,GIT_Testing
User Comment,
,
Pages->InCacheSkipped->TotalPageElementsInCacheSkippedForInterval->Cumulated->Count,0
Pages->ResponseCacheHit->PercentCacheHitsAllPageElementsInterval->Cumulated->Percent,
Pages->RequestCacheAttempt->TotalPageElementsRequestCacheAttemptsForInterval->Cumulated->Count,0
Run->Active Users->Cumulated->Increment,0
Pages->Hits->Total Page Element Hits For Interval->Rate,0.0
Pages->InCacheSkipped->TotalPageElementsInCacheSkippedForInterval->Cumulated->Rate,0.0
Pages->Response Time->Average Response Time For All Page Elements For Interval->Mean,
Pages->Attempts->Total Page Element Attempts For Interval->Rate,0.0
Pages->InCacheSkipped->PercentInCacheSkippedAllPageElementsInterval->Cumulated->Percent,0.0
Pages->ResponsePushed->PercentResponsePushedForInterval->Cumulated->Percent,0.0
Pages->ResponsePushed->TotalResponsePushedForInterval->Cumulated->Count,0
Pages->ResponseCacheHit->TotalPageElementsResponseCacheHitsForInterval->Cumulated->Count,0
Pages->Redirections->TotalPageElementRedirectionsForInterval->Cumulated->Count,0
Pages->Attempts->Total Page Element Attempts For Interval->Cumulated->Rate,1.2444444
Run->Completed Users->Cumulated->Increment,2
Pages->InCacheSkipped->TotalPageElementsInCacheSkippedForInterval->Rate,0.0
Run->Total Users->Cumulated->Increment,2
Pages->ResponseCacheMiss->TotalPageElementsResponseCacheMissesForInterval->Cumulated->Count,0
Pages->Redirections->TotalPageElementRedirectionsForInterval->Cumulated->Rate,0.0
Pages->Hits->Total Page Element Hits For Interval->Cumulated->Rate,1.2444444
Pages->Attempts->Total Page Element Attempts For Interval->Cumulated->Count,168
Pages->Response Time->Average Response Time For All Page Elements For Interval->Cumulated->Mean,954.9583333333334
Pages->Redirections->TotalPageElementRedirectionsForInterval->Rate,0.0

